id,applies_to_england_input,applies_to_england_output,reason
3baf9f5b-c430-4af2-b2be-3f70985443b2,true,true,"The document specifically addresses pesticide policy and regulations that are applicable within England, outlining the government's commitments and proposed actions to manage the use of neonicotinoid pesticides in the agricultural sector."
7e755b06-a6b1-42af-a0e5-3cf664ca0c7b,true,true,"The Environment Agency operates in England and is responsible for issuing environmental permits under the Industrial Emissions Directive. The permit mentioned pertains to an installation in England, specifically Burscough Transfer Station."
c1d9c22f-79c5-4bdd-b4bb-1ce1188f1fef,true,true,"This document pertains to the Environment Agency's public consultation processes, which specifically govern environmental regulations and permits in England."
dd43186e-e173-4f48-9b9f-4899d89c902b,true,true,"This document pertains to educational data specifically relating to key stages and post-16 education, which are part of the education system in England. Key Stage 4 and 16 to 18 study statistics are relevant to England's education policies and performance evaluations."
ddb5c3ff-9bd0-4fad-905d-867d4cfb7316,true,true,"This document pertains to an environmental permit application regulated by the Environment Agency, which operates in England and Wales. Specifically, the regulations mentioned are applicable to England."
fecb5f11-219c-458f-aff4-85da6769a7aa,true,true,The document specifically mentions updates to factsheets for England and refers to integrated care boards (ICBs) and care homes within the context of England's health services.
c5faf22a-658d-4887-af74-614caab1dd98,true,true,"This document discusses outcomes statistics for children in need and those looked after by local authorities, which are responsibilities that fall under the jurisdiction of English local authorities. Therefore, it applies to England."
30743951-d02c-4b8b-83e3-d63e570120a0,true,true,"The Environment Agency is an executive agency of the government of England responsible for environmental protection and regulation, and the Industrial Emissions Directive is implemented in England through their permit system."
8e8f0c01-8f95-42b8-a1a3-ac8ac6862638,true,true,"The Environment Agency operates within England, overseeing environmental regulations and permitting. Hence, the consultation process described applies specifically to England."
b2f34319-d2bf-4f39-aa6e-962a0ee45a49,true,true,"The guidance specifically addresses joint targeted area inspections (JTAIs) of the multi-agency response to domestic abuse victims in local authority areas, clearly stating it is applicable to England. Additionally, it references the Domestic Abuse Act 2021, which is legislation specific to England."
9f8efff8-18bd-42d7-a41e-06e2117093a0,true,true,"The document pertains to the regulatory judgment of Fairhive Homes Limited, a registered provider of social housing operating in England, specifically in Buckinghamshire, Oxfordshire, and South Northamptonshire. Since it involves compliance with standards set by the regulatory body for social housing, which primarily oversees landlords in England, it applies to England."
fe5c2acb-6152-4f91-a0bd-82312932407b,true,true,"The document pertains to the Crown Prosecution Service (CPS) and its policies, which operate within England and Wales. It outlines actions and improvements related to the handling of stalking cases by the CPS, making it applicable to England."
584b707e-26ea-42a7-9dcd-82f2be860a3f,true,true,"The application pertains to an environmental permit under the Environmental Permitting (England and Wales) Regulations 2016, indicating it is relevant to England."
4f678087-b0b7-401c-9ce4-c897adf507ff,true,true,"The gas consumption statistics pertain to energy usage data that is relevant across the UK, including England. Census and energy consumption data typically cover all nations of the UK, ensuring applicability to England for analysis and planning."
206cf7e9-1c06-4234-ba93-539c26f0ef77,true,true,"The document specifically states that the Social Housing Decarbonisation Fund scheme covers England only, indicating that the measures and data discussed apply solely to England."
7542c060-bb2c-4d95-bb2b-965a449b3261,true,true,"The document pertains to an environmental permit application regulated by the Environment Agency under the Environmental Permitting (England and Wales) Regulations 2016, specifically indicating a facility located in Hampshire, England."
cd317cd2-6461-4031-a4a5-4b8ee7e885d7,true,true,"The document specifically mentions data presented at England, regional, and upper tier local authority level, indicating its relevance and application within England."
5d371bf0-a35a-4257-9ce6-21cabd43f4a0,true,false,"The document is written in Welsh and references services and contact details for the Land Registry in Wales, indicating that it specifically applies to Wales and not England."
0f5aaab2-bc46-4f74-aa0e-6ad80445a27d,true,true,"The document pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, explicitly indicating that it applies to England."
ae8f4c7f-f5d6-4846-94d6-d79765ea2655,true,true,"The report specifically discusses statistics and court cases related to civil county courts in England and Wales, indicating its direct relevance to the justice system in England."
9fd9f817-8fc6-415b-9a4d-1b2442e8eba5,true,true,"The document discusses the legal aid scheme administered by the Legal Aid Agency for England and Wales, indicating its direct applicability to England."
2557197d-b197-483e-9d80-74271801a30f,true,true,"This document pertains to an application for an environmental permit in England under the Environmental Permitting (England and Wales) Regulations 2016, specifically concerning a sewage treatment plant operated by Winchester City Council in Hampshire."
3399c518-faa3-43c6-aad8-e18bcb15b4e2,true,true,"This document pertains to the Environment Agency, which is an executive agency of the UK government responsible for environment protection and regulation in England. Therefore, it explicitly applies to England."
dba21d7d-a10b-4f0e-a388-1711ecad716c,true,true,"The document pertains to the Regulation of Social Housing, which is governed by legislation specific to England. Hence, it is relevant for landlords and tenants in England."
a2ac971e-78e8-4670-a85e-764508b7a16b,false,false,"The document specifically pertains to the Police Ombudsman for Northern Ireland, indicating that it only deals with issues related to police conduct in Northern Ireland, thus not applicable to England or any other part of the UK."
19e175ea-94ac-4624-9a30-3c42c52a56ed,true,true,"The Environment Agency operates within England and is responsible for environmental regulation and management, including waste and water discharge activities. Therefore, this document pertains to England."
01d508d6-1be3-436b-892a-f0d94909c4b6,true,true,"This document applies to England as it relates to the production of official statistics, a practice overseen by the Office for National Statistics (ONS), which operates within England and ensures statistical outputs are free from political influence across the UK."
ac6c8319-afc6-4823-9b98-17174f7be84c,true,true,"This document pertains to the Environment Agency, which is an executive agency of the UK Government solely responsible for environmental protection and regulation in England. Therefore, it applies to England."
579a22d2-845d-40b6-8df6-23122af21621,true,true,"The document discusses low traffic neighbourhood (LTN) schemes that have been implemented specifically in areas across England since March 2020, indicating that it is relevant to England."
d772e034-22fb-4344-b8d2-da66738d12ce,true,true,"The document pertains to an application for an environmental permit under the Environmental Permitting (England and Wales) Regulations, which specifically apply to England."
91c949ef-deb1-4a19-b026-b2afae8b1f09,false,true,"This statement reflects the fundamental principles of statistical production upheld by the UK government, including England, where official statistics must be impartial and free from political influence to maintain public trust and reliability."
020e64e8-d1ae-40a6-bae6-24c4345c5d8b,true,true,"The document pertains to the planning process for a new prison and associated works, which are regulated under England's planning laws. Therefore, it applies specifically to England."
67fd55a2-8be5-4f94-bbe5-6dd566cf7b1f,true,true,"The document specifically addresses management plans for Protected Landscapes such as National Parks and Areas of Outstanding Natural Beauty (AONBs), which are designated and governed within England. Therefore, it clearly applies to England."
cd3d83f9-65da-481a-afc9-b29aca85c573,true,true,"The document specifically discusses statistics related to the youth justice system in England and Wales, indicating that it directly pertains to the regulations, data collection, and analysis relevant to England."
28f931a0-ebea-4d2a-bde5-2034aa0ad94f,true,true,"This application pertains to the Environmental Permitting (England and Wales) Regulations 2016, which specifically includes provisions relevant to England, thereby establishing its applicability to this region."
43c26857-371d-4119-972b-81f3e697c9d1,true,true,"This document relates to the Environment Agency, which is the regulatory body responsible for environmental protection in England. Its functions regarding public consultation on permits and applications are applicable within England."
a77409a4-80b0-4521-a1f4-6d16a530ecd5,true,true,The document relates to planning appeals and applications which fall under the jurisdiction of England's local planning authorities.
4b888122-b084-47db-9e9a-4525a9d67419,true,true,"The document specifically mentions DROs (Debt Relief Orders) that were revoked and declined in both England and Wales, indicating that the content is relevant to England."
5cbda5a3-16b6-44bd-b8c8-498e320be958,true,true,"The application pertains to an environmental permit regulated under the Environmental Permitting (England and Wales) Regulations 2016, indicating it is applicable to England."
fb93fbec-c2d5-4fda-b377-6dfa5eb22f20,true,true,"The Environmental Improvement Plan detailed throughout the document outlines comprehensive strategies, commitments, and actions specifically aimed at addressing environmental issues in England, including pollution reduction, biodiversity enhancement, and sustainable resource management. These initiatives are tailored to England's unique ecological challenges and legislative framework, thereby ensuring its relevance and applicability to the nation."
b8612ccb-4b13-4440-bc54-c446773839e7,false,false,The document does not contain specific content or context indicating its relevance or applicability to England.
789ef8cd-afa5-47c7-8a32-4721e3bfa77f,true,true,"This document discusses licensing for movements of poultry and related activities specifically within the jurisdiction of the Animal and Plant Health Agency (APHA), which operates in England. The procedures and requirements outlined are pertinent to England's regulations regarding bird flu management."
22e787c8-3a27-4a4d-8ed3-7412c0ba4d2d,true,true,"The document outlines the statutory framework for biodiversity net gain as established under English law, specifically referencing the Town and Country Planning Act 1990 and amendments made by the Environment Act 2021. It details regulations, requirements, and processes that directly pertain to planning permissions in England, confirming its applicability exclusively to England."
bef52e22-8703-4eea-8fd3-35ce7054b205,true,true,"The document pertains to an environmental permit application processed by the Environment Agency, which is responsible for environmental regulation in England. It specifically references regulations that apply to England and Wales, indicating that it is relevant to England."
7fdc5b4c-d41d-4876-b975-d93c5161a70d,true,true,"The document pertains to the functions of the Regulator of Social Housing and the Health and Safety Executive, both of which operate within England's regulatory framework for housing and building safety."
69460b6d-9b4b-4845-b4f0-7ac90504abe5,true,true,"The document discusses procedures related to bind over orders and legal aid in the context of divorce or separation, which are applicable within the English legal system."
3a13c300-9966-4434-ab84-1c67609b199a,true,true,"The Justice and Security Act 2013 applies to England as it relates to UK-wide legislation enacted by Parliament, and the report mentioned is to be laid before the UK Parliament, which operates primarily in England."
ad4af918-aa20-4c4e-92c4-e5a19e069c66,true,true,"This document discusses prison performance metrics and ratings that are specifically relevant to the English prison system, which is managed by the Ministry of Justice. It addresses data, statistics, and assessments that are only applicable to prisons in England."
5837ff5e-5bfa-4ede-852a-ce9855ddce98,true,true,"The document pertains to a permit issued by the Environment Agency, which operates in England and regulates industrial emissions under UK legislation."
37077fb6-3a9e-4b52-b6bb-79f3d5976ceb,true,true,"The Livestock Demographic Data Groups (LDDG) include representatives from the Animal and Plant Health Agency (APHA), which operates in England and has responsibilities related to livestock health and management. This indicates that the reports generated by LDDG are relevant to policies and practices affecting England."
e37a7a02-d443-487f-ae61-8f21da1898e2,true,true,"The document specifically mentions regulations and procedures that are applicable in England, such as The Teachers’ Disciplinary (England) Regulations 2012, and it refers to the location of the teacher as being in Frodsham, North West England."
247a3ceb-ce22-4974-b6bb-c4581599e276,true,true,"The document outlines funding processes, changes, and guidelines specifically pertaining to education and skills for 16 to 19 year olds in England, indicating its jurisdiction and application to England only."
fa6a04f2-d180-49d2-b199-3876c7ff4764,true,true,"This document pertains to a full planning application within Bristol, which is located in England. It details a proposed development that is subject to planning regulations set forth by local and national authorities in England."
b1ea1278-28af-4cbe-b484-e84c5d3cbe47,true,true,"The document discusses Universal Credit, which is a welfare benefit administered by the UK government, affecting residents in England and other UK nations. It specifically includes statistics relevant to England and informs about claims and policy implementations, making it applicable to England."
2f37f6c2-f31c-4146-ba77-a12f3d637761,true,true,"This document pertains to the NHS cervical screening invitation, which is a service provided specifically in England as part of the national health system."
082044c9-c650-42c0-938c-43af006e2841,true,true,"The document provides information about the shingles vaccination and directs individuals to resources managed by the UK Health Security Agency, which operates within the framework of England's public health services."
38a5c6e8-4619-40c7-8cba-dada58e8a16d,true,true,"This guidance pertains to the duties and responsibilities of charity trustees in relation to accepting, refusing, or returning donations. It is relevant to England as charitable organizations operating in England must adhere to these principles as outlined by the Charity Commission for England and Wales, which governs the operations and regulations of charities within that nation."
0fad70d7-547e-4bfe-8cb5-5d41c5c94ff0,true,true,"The Equality Act 2010 (Gender Pay Gap Information) Regulations 2017 is legislation that applies to England, specifically as it pertains to employers operating within the jurisdiction of England. Additionally, Ofsted is a regulatory body for education services in England."
c88c41a9-c05f-4afa-8461-98678394d9e6,false,true,"The document provides information that is relevant to policies and regulations implemented in England, making it applicable to that nation."
0360ccde-8393-41d8-8931-df4c361b83ce,true,true,"The document pertains to the regulation of teachers in England, specifically referencing The Teachers’ Disciplinary (England) Regulations 2012 and involving a professional conduct panel that operates under English educational law."
7eb3fa17-1276-462b-bc21-d5d3034437f0,true,true,"The project focuses on methane emissions from landfills, which are relevant to environmental policies and regulations in England. Landfill management and greenhouse gas emissions are key concerns addressed by UK legislation, making this document applicable to England."
72353d66-d7e4-4bc6-a848-654b240a4dfd,true,true,"The Environment Agency is a government body responsible for environmental protection and regulation in England. This document pertains to public consultations regarding environmental applications, which are specifically managed in England, thus it applies to England."
fc87b2c0-872d-402b-a76c-23868fa10080,true,true,"The document discusses convictions in England specifically related to the Post Office (Horizon System) Offences Act 2024, which pertains to cases in both England and Wales. However, the focus is on the processes within England's jurisdiction regarding the quashed convictions."
e61be53b-11e0-425f-9495-c97e7cca755c,true,true,"The document addresses rural flood resilience in the UK, specifically involving organizations that operate within England, such as the Environment Agency and the National Farmers Union, making it applicable to England."
dfc03882-4e40-49f9-a068-4f859f9a3706,true,true,The document pertains to interests and appointments of individuals which are often relevant for positions such as public office or directorships within UK entities. The mention of Barclays Bank UK PLC and Rethink Mental Illness indicates a connection to organizations operating primarily within England.
4de45dcd-e949-4b91-b7d1-bb7b3c1de037,true,true,"This document relates to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating its applicability to England."
b00a1c58-4eed-4d26-8ee2-4b57025ba22e,true,true,"The document discusses the activities and decisions of the National Data Guardian and related updates that specifically pertain to health and data protection in England, particularly involving NHS England and the Department of Health and Social Care. Therefore, it applies to England."
b6d9acdd-cf04-4eff-9380-0e9778818d5d,true,true,"The Environment Agency operates in England and is responsible for regulating water abstraction and impoundment in this jurisdiction. Therefore, this document applies specifically to England."
fba5b58e-b122-46db-92c2-9d0b9ca543c5,true,true,"The document pertains to an environmental permit application made under the Environmental Permitting (England and Wales) Regulations 2016, indicating its applicability to England."
7fafcec2-9ede-4326-a215-3c0ed21a52e5,false,false,This document specifically addresses student support awarded to applicants and students domiciled in Northern Ireland and EU (outside UK) students studying in Northern Ireland. It does not mention or include data pertaining to England.
bb8cfa4c-a752-406f-800d-e0d167241081,true,true,"The Social Housing Decarbonisation Fund (SHDF) is a government scheme that specifically targets and applies to social housing in England, as evidenced by references to local authorities and regions within England for data reporting."
235f844a-703f-434d-952a-74e330d399ad,true,true,"The Environment Agency is an executive agency of the UK government and operates primarily in England, making this document relevant for public consultations regarding environmental permits in England."
d86470e3-34db-4bc1-8877-a77f25255fc0,true,true,"The document discusses initiatives and updates specifically related to British Sign Language (BSL) as implemented in England, including the development of access measures and employment opportunities for Deaf individuals within various government departments. It references specific case studies from Derbyshire and mentions ministerial engagement that pertains to English policy and frameworks."
416ec820-9b8d-4c62-b6a8-a410a5571436,true,true,"This document pertains to the deaths of offenders under probation supervision in England and Wales, highlighting the statistics and processes relevant to offender management, which includes England as a part."
83c3178a-a72e-4f76-9b33-5fbb8e2530a5,true,true,"The document pertains to the Environmental Permitting (England and Wales) Regulations 2016, indicating that it specifically applies to England as part of these regulations."
1fca77c4-8fba-406d-af59-b0b918eac4d8,true,true,"The document pertains to an environmental permit application regulated under the Environmental Permitting (England and Wales) Regulations 2016, indicating applicability within England."
351c6f5c-ec9a-40dd-8e53-74948fc97527,true,true,"The document pertains to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating its applicability to England."
6d19f2a8-3e44-4b21-a62e-0a79765b2aa8,true,true,"This document specifically refers to the distribution of funding granted to local authorities in England for adult social care projects, indicating its direct applicability to England."
4cb950e6-6f30-43ae-974f-722e867b1649,true,true,"The document specifically discusses the Forestry Commission's operations, objectives, and initiatives within England, including references to specific programs and data related to its workforce and community outreach in the country's forests."
4f9ca507-7f56-47eb-af4f-37f374168888,true,true,"The Environment Agency is a governmental body that operates in England, handling environmental regulations, including waste management and water discharge permits specific to England."
500a2d47-9eb5-4bca-9e6a-760fedc2aefc,false,false,"The document specifically discusses data and statistics pertaining to Northern Ireland, making it inapplicable to England."
4dc94201-e9a3-4512-92c8-778969e0534a,true,true,"The document pertains to the Environment Agency, which is a government body that operates in England and is responsible for environmental protection and regulation."
a1bc0cc4-51bb-4c44-b3e3-7652bdac47d0,true,true,"This document specifically discusses the musculoskeletal health profile and data based on the GP Patient Survey for 2024, which is applicable to England. The statistics, findings, and data presented are specific to the health conditions prevalent in England's population and are used for commissioning health services within England."
fdbd5b81-03a6-475b-bf76-5af42d4453bf,true,true,"The Environment Agency is a governmental body responsible for environmental regulation in England, and the document pertains to public consultations on applications relevant to waste and water management within England."
9fecd25d-598c-4746-b122-965c423c90ce,true,true,"This document pertains to the Environment Agency, which is responsible for environmental regulation in England, including waste and water management. Therefore, it applies directly to England."
858490b2-f538-498f-9d8f-2eaf3a2c25b9,true,true,"The document pertains to local authority revenue expenditure and financing, which is governed by regulations that apply to local authorities in England."
e34f65ae-5c73-4971-aa8c-4767895cd97e,false,false,"The document specifically addresses HSC vacancies, which refers to Health and Social Care positions predominantly in Northern Ireland, thus it does not apply to England."
fee36e84-ce19-4ca2-8032-f8486ef9f912,true,true,"The document discusses government responses and recommendations related to mental health inpatient settings, which fall under the jurisdiction of NHS England, indicating that it specifically applies to England."
0ad4575a-30ce-4b92-b329-87f053192280,true,true,"The document pertains to planning appeals and decisions that fall under the jurisdiction of local authorities in England, where solar farms and energy systems are subject to specific regulations and planning permissions."
5a280572-01a6-4e2a-a70f-b071ee1bcef8,true,true,"This document specifically relates to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, indicating that it applies to England."
42a4979b-a64b-44c6-adc5-6530c9853c7a,true,true,"This document is relevant to England as the Environment Agency operates within England, overseeing environmental regulations related to waste, water discharge, and other industrial activities."
13357cac-7c6e-4484-bcda-85ffde6653de,true,true,"The document pertains to an application for an environmental permit under the Environmental Permitting (England and Wales) Regulations 2016, indicating it is applicable to England."
ba76cd45-79d1-461d-8485-b9d021be00a8,true,true,"The document discusses unpaid work, also known as community payback, which is a judicial option specifically administered under English law as well as within the wider UK jurisdiction. This relates directly to the operations and data managed by the Ministry of Justice and HM Prison and Probation Service, both of which are institutions that operate in England."
9190c4d3-1ac6-4598-9322-5106b266ab90,true,true,"The Environment Agency is a public body that operates in England, responsible for environmental protection and regulation. This document relates to their consultation process on applications which directly impacts environmental management within England."
b4e71a3d-2fc0-4b18-9b93-e95f7e26c622,true,true,"The document pertains to the Ministry of Justice, which is a UK government department that operates in England. The policy is relevant to judicial office holders, including judges and magistrates based in England, thus it applies to England."
771725ad-76ad-43e3-a74c-73b8262f1d32,true,true,"The document pertains to a planning application for a Motorway Service Area, which falls under the jurisdiction of planning law that applies in England. This type of development is managed through local planning authorities in England, hence the decision is relevant to this nation."
45a5799e-30df-4283-96b6-962037c5802a,true,true,"The application details pertain to an abstraction license governed by the Environment Agency, which operates in England. The references to specific locations, legislation, and the requirement for public comments indicate that this document is applicable to England."
9328670c-d2c7-439a-a33a-a79d6678489e,true,true,"The document pertains to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating it applies specifically to England."
91cc2e93-9775-46a7-8295-2b634d6f7130,true,true,"The document pertains specifically to the GRADE data sharing project, which is focused on educational data relevant to England's assessment and admission systems."
5073ecf9-23ff-454b-9cd1-d4a787088be0,true,true,"This document pertains to an application for an environmental permit regulated by the Environment Agency, which operates in England, making it relevant to England."
